emotion,timestamp
angry,2025-06-09T23:04:04.755070
neutral,2025-06-09T23:04:04.863554
neutral,2025-06-09T23:04:04.930122
fear,2025-06-09T23:04:05.007819
surprise,2025-06-09T23:04:05.116483
surprise,2025-06-09T23:04:05.220879
surprise,2025-06-09T23:04:05.309460
surprise,2025-06-09T23:04:05.429720
surprise,2025-06-09T23:04:05.522887
surprise,2025-06-09T23:04:05.612511
surprise,2025-06-09T23:04:05.713754
surprise,2025-06-09T23:04:05.813854
surprise,2025-06-09T23:04:06.447354
surprise,2025-06-09T23:04:06.532487
surprise,2025-06-09T23:04:06.613959
surprise,2025-06-09T23:04:06.706492
neutral,2025-06-09T23:04:06.814216
surprise,2025-06-09T23:04:06.907051
surprise,2025-06-09T23:04:06.962722
surprise,2025-06-09T23:04:07.043906
surprise,2025-06-09T23:04:07.101198
surprise,2025-06-09T23:04:07.172415
surprise,2025-06-09T23:04:07.226310
surprise,2025-06-09T23:04:07.312129
surprise,2025-06-09T23:04:07.368506
surprise,2025-06-09T23:04:07.431527
surprise,2025-06-09T23:04:07.504866
surprise,2025-06-09T23:04:07.575010
surprise,2025-06-09T23:04:07.682563
surprise,2025-06-09T23:04:07.770537
surprise,2025-06-09T23:04:07.845710
surprise,2025-06-09T23:04:07.896576
surprise,2025-06-09T23:04:07.974218
surprise,2025-06-09T23:04:08.068630
surprise,2025-06-09T23:04:08.142750
surprise,2025-06-09T23:04:08.200093
surprise,2025-06-09T23:04:08.272076
surprise,2025-06-09T23:04:08.329403
surprise,2025-06-09T23:04:08.397158
surprise,2025-06-09T23:04:08.466585
surprise,2025-06-09T23:04:08.531174
surprise,2025-06-09T23:04:08.599437
surprise,2025-06-09T23:04:08.665616
surprise,2025-06-09T23:04:08.724406
surprise,2025-06-09T23:04:08.790863
surprise,2025-06-09T23:04:08.868606
surprise,2025-06-09T23:04:08.930070
angry,2025-06-09T23:04:09.037919
angry,2025-06-09T23:04:09.147116
surprise,2025-06-09T23:04:09.237886
surprise,2025-06-09T23:04:09.298929
angry,2025-06-09T23:04:09.401777
surprise,2025-06-09T23:04:09.462934
neutral,2025-06-09T23:04:09.578057
neutral,2025-06-09T23:04:09.665686
neutral,2025-06-09T23:04:09.767842
neutral,2025-06-09T23:04:09.870413
neutral,2025-06-09T23:04:09.967361
angry,2025-06-09T23:04:10.064003
angry,2025-06-09T23:04:10.192111
angry,2025-06-09T23:04:10.299806
angry,2025-06-09T23:04:10.398359
neutral,2025-06-09T23:04:10.501019
angry,2025-06-09T23:04:10.600639
sad,2025-06-09T23:04:10.699553
